State,FIPS,County,Veteran Population,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients
KS,20021,CHEROKEE,1759.01,5278017.73,3355299.9,0,255227.1,0,0,85165.6,1582325.12,441.19
KS,20023,CHEYENNE,279.14,621030.81,344075.64,0,3953.11,0,0,8778.25,264223.81,98.04
KS,20025,CLARK,244.78,482080.26,241451.83,0,2937.06,0,0,32563.33,205128.03,75.03
KS,20027,CLAY,967.43,3959506.21,2312458.15,0,162733.45,0,0,86095.44,1398219.18,292.13
KS,20029,CLOUD,1003.57,2044259.68,1150054.59,0,83217.78,0,0,76370.16,734617.15,242.1
KS,20031,COFFEY,893.45,2310425.65,1073697.56,0,74441.06,0,0,5459.39,1156827.65,188.08
KS,20033,COMANCHE,209.78,360270.94,175918.03,0,0,0,0,11879.8,172473.11,59.03
KS,20035,COWLEY,2850.75,10557154.31,4607024.26,0,329129.49,0,0,266949.17,5354051.38,742.32
KS,20037,CRAWFORD,3192.45,8057743.69,4613295.19,0,689737.75,0,0,150379.77,2604330.98,639.28
KS,20039,DECATUR,311.54,810935.73,355042.34,0,12497.11,0,0,38714.39,404681.89,107.05
KS,20041,DICKINSON,2381.47,9126498.36,4934334.07,0,309765.45,0,0,81335.8,3801063.04,598.26
KS,20043,DONIPHAN,641.3,1953885.03,730723.14,0,127960.43,0,0,13728.78,1081472.68,180.08
KS,20045,DOUGLAS,6493.38,18473198.58,7758172.42,0,2481753.62,0,0,412319.55,7820953,1378.6
KS,20047,EDWARDS,278.85,783108.01,246362.55,0,40851.25,0,0,45341.88,450552.32,94.04
